sweep_index,point_index,elapsed_time_s,angle_deg,dist_mm
6.200000000000000000e+01,0.000000000000000000e+00,1.236037693023681641e+02,-4.500000000000000000e+01,2.054000000000000057e+02
6.200000000000000000e+01,1.000000000000000000e+00,1.236037693023681641e+02,0.000000000000000000e+00,1.830000000000000000e+02
6.200000000000000000e+01,2.000000000000000000e+00,1.236037693023681641e+02,4.500000000000000000e+01,2.121999999999999886e+02
6.300000000000000000e+01,0.000000000000000000e+00,1.255652043819427490e+02,-4.500000000000000000e+01,2.040000000000000000e+02
6.300000000000000000e+01,1.000000000000000000e+00,1.255652043819427490e+02,0.000000000000000000e+00,1.830000000000000000e+02
6.300000000000000000e+01,2.000000000000000000e+00,1.255652043819427490e+02,4.500000000000000000e+01,2.121999999999999886e+02
6.400000000000000000e+01,0.000000000000000000e+00,1.275276670455932617e+02,-4.500000000000000000e+01,2.034000000000000057e+02
6.400000000000000000e+01,1.000000000000000000e+00,1.275276670455932617e+02,0.000000000000000000e+00,1.841999999999999886e+02
6.400000000000000000e+01,2.000000000000000000e+00,1.275276670455932617e+02,4.500000000000000000e+01,2.124000000000000057e+02
6.500000000000000000e+01,0.000000000000000000e+00,1.294894082546234131e+02,-4.500000000000000000e+01,2.034000000000000057e+02
6.500000000000000000e+01,1.000000000000000000e+00,1.294894082546234131e+02,0.000000000000000000e+00,1.835999999999999943e+02
6.500000000000000000e+01,2.000000000000000000e+00,1.294894082546234131e+02,4.500000000000000000e+01,2.130000000000000000e+02
6.600000000000000000e+01,0.000000000000000000e+00,1.314508905410766602e+02,-4.500000000000000000e+01,2.031999999999999886e+02
6.600000000000000000e+01,1.000000000000000000e+00,1.314508905410766602e+02,0.000000000000000000e+00,1.834000000000000057e+02
6.600000000000000000e+01,2.000000000000000000e+00,1.314508905410766602e+02,4.500000000000000000e+01,2.128000000000000114e+02
6.700000000000000000e+01,0.000000000000000000e+00,1.334122953414916992e+02,-4.500000000000000000e+01,2.051999999999999886e+02
6.700000000000000000e+01,1.000000000000000000e+00,1.334122953414916992e+02,0.000000000000000000e+00,1.841999999999999886e+02
6.700000000000000000e+01,2.000000000000000000e+00,1.334122953414916992e+02,4.500000000000000000e+01,2.121999999999999886e+02
6.800000000000000000e+01,0.000000000000000000e+00,1.353749952316284180e+02,-4.500000000000000000e+01,2.048000000000000114e+02
6.800000000000000000e+01,1.000000000000000000e+00,1.353749952316284180e+02,0.000000000000000000e+00,1.841999999999999886e+02
6.800000000000000000e+01,2.000000000000000000e+00,1.353749952316284180e+02,4.500000000000000000e+01,2.120000000000000000e+02
6.900000000000000000e+01,0.000000000000000000e+00,1.373370046615600586e+02,-4.500000000000000000e+01,2.041999999999999886e+02
6.900000000000000000e+01,1.000000000000000000e+00,1.373370046615600586e+02,0.000000000000000000e+00,1.838000000000000114e+02
6.900000000000000000e+01,2.000000000000000000e+00,1.373370046615600586e+02,4.500000000000000000e+01,2.111999999999999886e+02
7.000000000000000000e+01,0.000000000000000000e+00,1.392983925342559814e+02,-4.500000000000000000e+01,2.050000000000000000e+02
7.000000000000000000e+01,1.000000000000000000e+00,1.392983925342559814e+02,0.000000000000000000e+00,1.834000000000000057e+02
7.000000000000000000e+01,2.000000000000000000e+00,1.392983925342559814e+02,4.500000000000000000e+01,2.138000000000000114e+02
7.100000000000000000e+01,0.000000000000000000e+00,1.412597377300262451e+02,-4.500000000000000000e+01,2.038000000000000114e+02
7.100000000000000000e+01,1.000000000000000000e+00,1.412597377300262451e+02,0.000000000000000000e+00,1.831999999999999886e+02
7.100000000000000000e+01,2.000000000000000000e+00,1.412597377300262451e+02,4.500000000000000000e+01,2.114000000000000057e+02
7.200000000000000000e+01,0.000000000000000000e+00,1.432218339443206787e+02,-4.500000000000000000e+01,2.048000000000000114e+02
7.200000000000000000e+01,1.000000000000000000e+00,1.432218339443206787e+02,0.000000000000000000e+00,1.845999999999999943e+02
7.200000000000000000e+01,2.000000000000000000e+00,1.432218339443206787e+02,4.500000000000000000e+01,2.110000000000000000e+02
7.300000000000000000e+01,0.000000000000000000e+00,1.451841573715209961e+02,-4.500000000000000000e+01,2.041999999999999886e+02
7.300000000000000000e+01,1.000000000000000000e+00,1.451841573715209961e+02,0.000000000000000000e+00,1.838000000000000114e+02
7.300000000000000000e+01,2.000000000000000000e+00,1.451841573715209961e+02,4.500000000000000000e+01,2.115999999999999943e+02
7.400000000000000000e+01,0.000000000000000000e+00,1.471456921100616455e+02,-4.500000000000000000e+01,2.050000000000000000e+02
7.400000000000000000e+01,1.000000000000000000e+00,1.471456921100616455e+02,0.000000000000000000e+00,1.840000000000000000e+02
7.400000000000000000e+01,2.000000000000000000e+00,1.471456921100616455e+02,4.500000000000000000e+01,2.114000000000000057e+02
7.500000000000000000e+01,0.000000000000000000e+00,1.491080489158630371e+02,-4.500000000000000000e+01,2.041999999999999886e+02
7.500000000000000000e+01,1.000000000000000000e+00,1.491080489158630371e+02,0.000000000000000000e+00,1.845999999999999943e+02
